id,"food","amount",cuisine_id,"created_at","updated_at"
174,"・みりん、みそ","大さじ１",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
175,"しょうゆ","大さじ1/2",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
176,"砂糖","小さじ１",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
177,"・サラダ油、塩","適宣",50,"0000-00-00 00:00:00","0000-00-00 00:00:00"
178,"豚肉","150g",51,"0000-00-00 00:00:00","0000-00-00 00:00:00"
179,"小松菜","2/3わ",51,"0000-00-00 00:00:00","0000-00-00 00:00:00"
180,"ねぎ","1/2本",51,"0000-00-00 00:00:00","0000-00-00 00:00:00"
181,"・塩、こしょう、サラダ油、酒、砂糖、しょうゆ、ごま油","適宣",51,"0000-00-00 00:00:00","0000-00-00 00:00:00"
182,"酒","１カップ",52,"0000-00-00 00:00:00","0000-00-00 00:00:00"
183,"砂糖","大さじ３",52,"0000-00-00 00:00:00","0000-00-00 00:00:00"
184,"にんにく","１片",52,"0000-00-00 00:00:00","0000-00-00 00:00:00"
185,"サラダ油","小さじ１",52,"0000-00-00 00:00:00","0000-00-00 00:00:00"
186,"しょうゆ","大さじ６",52,"0000-00-00 00:00:00","0000-00-00 00:00:00"
187,"豚肉","450g",52,"0000-00-00 00:00:00","0000-00-00 00:00:00"
188,"豚肉","400g",53,"0000-00-00 00:00:00","0000-00-00 00:00:00"
189,"・サラダ油、酒、砂糖、しょうゆ","適宣",53,"0000-00-00 00:00:00","0000-00-00 00:00:00"
190,"豚肉","６枚",54,"0000-00-00 00:00:00","0000-00-00 00:00:00"
191,"チーズ","３枚",54,"0000-00-00 00:00:00","0000-00-00 00:00:00"
192,"小麦粉","適宣",54,"0000-00-00 00:00:00","0000-00-00 00:00:00"
193,"卵","1/4個",54,"0000-00-00 00:00:00","0000-00-00 00:00:00"
194,"豚肉","２枚",55,"0000-00-00 00:00:00","0000-00-00 00:00:00"
195,"塩","少々",55,"0000-00-00 00:00:00","0000-00-00 00:00:00"
196,"こしょう","少々",55,"0000-00-00 00:00:00","0000-00-00 00:00:00"
197,"小麦粉","大さじ１",55,"0000-00-00 00:00:00","0000-00-00 00:00:00"
198,"バター","大さじ３",55,"0000-00-00 00:00:00","0000-00-00 00:00:00"
199,"・こしょう、しょうゆ","適宣",55,"0000-00-00 00:00:00","0000-00-00 00:00:00"
200,"豚肉","２枚",56,"0000-00-00 00:00:00","0000-00-00 00:00:00"
201,"レタス","３枚",56,"0000-00-00 00:00:00","0000-00-00 00:00:00"
202,"・酒、しょうゆ","小さじ１",56,"0000-00-00 00:00:00","0000-00-00 00:00:00"
203,"塩","小さじ1/2",56,"0000-00-00 00:00:00","0000-00-00 00:00:00"
204,"こしょう","適宣",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
