id,"genre","name",calorie,"created_at","updated_at"
1026,"ごはんもの","チャーシュー丼",533,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1027,"ごはんもの","ソースカツ丼",702,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1028,"ごはんもの","カルビ丼",687,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1029,"ごはんもの","豚丼",550,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1030,"ごはんもの","鉄火丼",566,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1031,"ごはんもの","ロコモコ丼",808,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1032,"ごはんもの","ステーキ丼",734,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1033,"ごはんもの","クッパ",333,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1034,"ごはんもの","栗ご飯",425,"2017-10-24 09:36:30","2017-10-24 09:36:30"
1035,"ごはんもの","ローストビーフ丼",295,"2017-10-24 09:36:29","2017-10-24 09:36:29"
1036,"ごはんもの","豚みそ焼肉丼",721,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1037,"ごはんもの","チキン竜田丼",891,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1038,"ごはんもの","キャベツメンチカツ丼",910,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1039,"ごはんもの","スタミナ焼肉丼",704,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1040,"ごはんもの","ネギ塩唐揚げ丼",767,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1041,"ごはんもの","五目中華丼",745,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1042,"ごはんもの","とろ玉サーモン丼",621,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1043,"ごはんもの","カツカレー",906,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1044,"ごはんもの","ヒレカツカレー",819,"0000-00-00 00:00:00","0000-00-00 00:00:00"
1045,"ごはんもの","さんま蒲焼き丼",724,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2000,"シチュー・スープ・汁物","味噌汁",115,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2001,"シチュー・スープ・汁物","豚汁",172,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2002,"シチュー・スープ・汁物","しじみの赤だし",49,"2017-10-24 09:36:32","2017-10-24 09:36:32"
